Store,StoreNum,CrustDescription,Topping,Diameter
Dominos,1,ThinNCrispy,Supreme,29.4
Dominos,1,ThinNCrispy,BBQMeatlovers,29.63
Dominos,1,DeepPan,Hawaiian,27.06
Dominos,1,ThinNCrispy,Supreme,27.45
Dominos,1,ClassicCrust,Hawaiian,26.59
Dominos,1,DeepPan,BBQMeatlovers,27.16
EagleBoys,2,MidCrust,SuperSupremo,29.15
EagleBoys,2,DeepPan,Hawaiian,28.78
EagleBoys,2,ThinCrust,BBQMeatlovers,30.05
EagleBoys,2,DeepPan,BBQMeatlovers,29.38
EagleBoys,2,ThinCrust,SuperSupremo,29.14
EagleBoys,2,MidCrust,Hawaiian,29.24
EagleBoys,2,MidCrust,BBQMeatlovers,28.97
EagleBoys,2,ThinCrust,Hawaiian,29.98
EagleBoys,2,MidCrust,Hawaiian,28.93
EagleBoys,2,ThinCrust,SuperSupremo,29.47
EagleBoys,2,ThinCrust,SuperSupremo,30
EagleBoys,2,ThinCrust,Hawaiian,30.01
EagleBoys,2,MidCrust,BBQMeatlovers,28.66
EagleBoys,2,ThinCrust,Hawaiian,30.44
Dominos,1,ThinNCrispy,Supreme,26.38
Dominos,1,ThinNCrispy,Hawaiian,28.86
Dominos,1,DeepPan,BBQMeatlovers,26.6
Dominos,1,ClassicCrust,Hawaiian,26.65
Dominos,1,DeepPan,Supreme,26.5
Dominos,1,ClassicCrust,Supreme,26.55
Dominos,1,DeepPan,Supreme,26.64
Dominos,1,ClassicCrust,BBQMeatlovers,26.15
Dominos,1,ThinNCrispy,Hawaiian,28.92
Dominos,1,DeepPan,Supreme,26.87
Dominos,1,ClassicCrust,BBQMeatlovers,26.56
Dominos,1,ClassicCrust,Hawaiian,26.65
Dominos,1,DeepPan,Supreme,26.61
Dominos,1,ThinNCrispy,Hawaiian,28.75
Dominos,1,ThinNCrispy,Supreme,29.33
Dominos,1,ThinNCrispy,BBQMeatlovers,29
Dominos,1,DeepPan,Hawaiian,26.34
Dominos,1,ClassicCrust,BBQMeatlovers,27.2
Dominos,1,ClassicCrust,BBQMeatlovers,26.61
EagleBoys,2,DeepPan,SuperSupremo,28.73
EagleBoys,2,DeepPan,BBQMeatlovers,28.48
EagleBoys,2,DeepPan,SuperSupremo,29.01
EagleBoys,2,MidCrust,BBQMeatlovers,28.73
EagleBoys,2,MidCrust,Hawaiian,28.6
EagleBoys,2,DeepPan,Hawaiian,29.59
EagleBoys,2,DeepPan,SuperSupremo,29.04
EagleBoys,2,MidCrust,BBQMeatlovers,29.03
EagleBoys,2,ThinCrust,BBQMeatlovers,29.75
EagleBoys,2,DeepPan,SuperSupremo,28.95
EagleBoys,2,DeepPan,BBQMeatlovers,29.38
EagleBoys,2,MidCrust,SuperSupremo,28.72
EagleBoys,2,DeepPan,SuperSupremo,28.6
EagleBoys,2,ThinCrust,Hawaiian,29.9
EagleBoys,2,ThinCrust,Hawaiian,29.4
EagleBoys,2,MidCrust,BBQMeatlovers,28.99
Dominos,1,DeepPan,BBQMeatlovers,25.98
Dominos,1,ThinNCrispy,Hawaiian,29.04
Dominos,1,ThinNCrispy,Hawaiian,29.01
Dominos,1,DeepPan,Supreme,26.67
Dominos,1,ClassicCrust,BBQMeatlovers,26.97
Dominos,1,ThinNCrispy,Hawaiian,29.37
Dominos,1,DeepPan,Supreme,26.09
Dominos,1,ThinNCrispy,Supreme,29.32
Dominos,1,DeepPan,Supreme,27.12
Dominos,1,DeepPan,BBQMeatlovers,26.37
EagleBoys,2,ThinCrust,Hawaiian,30.35
EagleBoys,2,MidCrust,SuperSupremo,29.08
EagleBoys,2,DeepPan,Hawaiian,28.29
EagleBoys,2,DeepPan,SuperSupremo,28.97
Dominos,1,ClassicCrust,Supreme,26.83
Dominos,1,DeepPan,Hawaiian,26.74
EagleBoys,2,DeepPan,Hawaiian,29.82
Dominos,1,ThinNCrispy,BBQMeatlovers,28.67
Dominos,1,ThinNCrispy,BBQMeatlovers,29.11
Dominos,1,DeepPan,Hawaiian,26.45
